Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo;Visibilidad
acolchado-plumon-queen-jean-cartier-oxford-platinum-700-hq-qbbpi;Acolchado/Plumón Queen Oxford Platinum 700 HQ;DORMITORIO > MANTAS/FRAZADAS/ACOLCHADOS;;;;;;;115,500.00;;0.40;20.00;15.00;15.00;1;;;SI;NO;"<p>Experimenta el lujo y la comodidad con el Acolchado/Plum&oacute;n Queen Jean Cartier Oxford Platinum 700 HQ, dise&ntilde;ado para brindarte la suavidad de la microfibra prewashed matelaseado y un estilo sofisticado.</p>
<p>&nbsp;</p>
<p>Caracter&iacute;sticas Principales:</p>
<p>Tama&ntilde;o: Queen</p>
<p>Dimensiones: 240 x 240 cm</p>
<p>Material: Microfibra premium prewashed matelaseado 100%, suave y de alta calidad</p>
<p>Relleno: 100% microfibra premium, perfecto para una experiencia de descanso inigualable</p>
<p>L&iacute;nea: Oxford Platinum 700 HQ de Jean Cartier</p>
<p>Elegante dise&ntilde;o con acabado matelaseado que da un toque de lujo</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Beneficios del Producto: El Acolchado/Plum&oacute;n Queen de la l&iacute;nea Oxford Platinum 700 HQ te ofrece la mezcla ideal de est&eacute;tica y confort. Su microfibra premium aseguran una calidez perfecta y una textura suave que te envolver&aacute; durante toda la noche. Ideal para aquellos que buscan un producto de alta calidad que combine durabilidad, estilo y comodidad.</p>";;;;;SI;;;;;Visible
sabana-oxford-lumiere-king-600hq-blanco-1g34k;Sabana Oxford LUMIERE KING 600HQ blanco;DORMITORIO > SABANAS Y AJUSTABLES > King;;;;;;;76,500.00;;0.30;3.00;15.00;15.00;2;;;SI;NO;"<p>El juego de s&aacute;banas Oxford Lumiere 600 HQ, con un acabado prewashed, ofrece un tacto algodonoso y confortable que realza la experiencia de descanso.</p>
<p>&nbsp;</p>
<p>Caracter&iacute;sticas Principales:</p>
<p>Medidas:</p>
<p>S&aacute;bana superior: 290 x 245 cm</p>
<p>S&aacute;bana ajustable: 240 x 280 cm</p>
<p>Para colch&oacute;n: 200 x 200 x 30 cm</p>
<p>2 fundas: 90 x 50 cm</p>
<p>Composici&oacute;n: Microfibra Premium | Cotton touch</p>
<p>&nbsp;Color: Blanco</p>
<p>&nbsp;</p>
<p>Beneficios del Producto:</p>
<p>Calidad premium confeccionada en microfibra suave y confortable</p>
<p>Estilo sofisticado con detalles en sat&eacute;n que aportan elegancia</p>
<p>Descanso placentero gracias a su textura suave y delicada</p>";;;;;SI;;;;;Visible
sabana-oxford-belle-600hq-king-beige-8djdq;Sabana Oxford BELLE 600HQ King beige;DORMITORIO > SABANAS Y AJUSTABLES > King;;;;;;;76,500.00;;0.30;3.00;15.00;15.00;1;;;SI;NO;"<p>El juego de s&aacute;banas Oxford Belle 600 HQ de ofrece un descanso superior con un tacto algodonoso inigualable.</p>
<p>&nbsp;</p>
<p>Caracter&iacute;sticas Principales:</p>
<p>Medidas:</p>
<p>S&aacute;bana superior: 290 x 245 cm.</p>
<p>S&aacute;bana ajustable: 290 x 280 cm.</p>
<p>Para colch&oacute;n: 200 x 200 x 30 cm.</p>
<p>2 fundas de almohada: 50 x 75 cm.</p>
<p>Composici&oacute;n: Microfibra Premium | Cotton touch</p>
<p>&nbsp;Color: Beige</p>
<p>&nbsp;</p>
<p>Beneficios del Producto:</p>
<p>Calidad premium que brinda m&aacute;ximo confort y suavidad</p>
<p>Estilo sofisticado con embozo plisado que realza el dormitorio</p>
<p>F&aacute;cil cuidado gracias a su microfibra premium de mantenimiento simple</p>
<p>Descanso reparador con tacto algodonoso y sensaci&oacute;n acogedora</p>";;;;;SI;;;;;Visible
frazada-oklahoma-vkx4k;FRAZADA OKLAHOMA 2 1/2 plazas;DORMITORIO > MANTAS/FRAZADAS/ACOLCHADOS;;;;;;;54,900.00;;0.30;5.00;15.00;15.00;1;;;SI;NO;"<p>Frazada Corderito Jacquard Oklahoma</p>
<p>La Frazada Oklahoma combina textura corderito ultra suave con un dise&ntilde;o jacquard a cuadros que no solo abriga, sino que tambi&eacute;n eleva la est&eacute;tica de tu cama.</p>
<p>Su volumen y ca&iacute;da &mdash;como se aprecia en las im&aacute;genes&mdash; generan un efecto envolvente de calor inmediato, ideal para los d&iacute;as m&aacute;s fr&iacute;os. No es una frazada liviana m&aacute;s: es esa capa de confort que hace que no quieras salir de la cama. Si busc&aacute;s dormir mejor, sin interrupciones por el fr&iacute;o, esta es una elecci&oacute;n segura.</p>
<p>Caracter&iacute;sticas principales</p>
<p>Tipo: Frazada corderito jacquard con dise&ntilde;o a cuadros</p>
<p>Tama&ntilde;o: 2 1/2 plazas</p>
<p>Medidas: 220 x 240 cm</p>
<p>Material: Microfibra premium, no pierde suavidad con los lavados.&nbsp;</p>
<p>Textura: Extra suave, efecto corderito</p>
<p>Color: Crema&nbsp;</p>";;;;;SI;;;;;Visible
manta-polar-1xk0l;MANTA POLAR 1 1/2 plaza BEIGE;DORMITORIO > PIE DE CAMA Y MANTAS , DORMITORIO > MANTAS/FRAZADAS/ACOLCHADOS;;;;;;;21,900.00;;0.05;5.00;10.00;10.00;3;;;SI;NO;"<p>Disfruta del calor y la suavidad en cada noche. Esta frazada de polar de 1 1/2 plaza, confeccionada con microfibra premium, es la opci&oacute;n perfecta para envolverte en confort durante el invierno.</p>
<p>&nbsp;</p>
<p>&nbsp;Caracter&iacute;sticas principales:</p>
<p>Tama&ntilde;o: 1 1/2 Plaza (150 x 220 cm)</p>
<p>Composici&oacute;n: microfibra premium</p>
<p>Color: beige</p>
<p>&nbsp;</p>
<p>Beneficios del producto:</p>
<p>S&uacute;per suave y c&aacute;lida: La microfibra premium ofrece una suavidad extrema y una sensaci&oacute;n acogedora.</p>
<p>Ideal para noches fr&iacute;as: El material polar asegura un excelente aislamiento t&eacute;rmico.</p>
<p>Versatilidad en tama&ntilde;o: Perfecta para camas de 1 1/2 plaza, adapt&aacute;ndose a diferentes espacios.</p>";;;;;SI;;;;;Visible
alfombra-lg7ds;ALFOMBRA SHAGGY 60X40CM;BAÑO > ALFOMBRAS PARA BAÑO;Color;Gris;;;;;8,900.00;;0.05;2.00;15.00;10.00;3;;;SI;NO;"<h4 data-start=""1133"" data-end=""1253"">Alfombra De Ba&ntilde;o 60 x 40 cm | M&aacute;xima suavidad</h4>
<h3 data-start=""1133"" data-end=""1253"">Caracter&iacute;sticas Principales:</h3>
<ul>
<li data-start=""1133"" data-end=""1253"">Medidas: 40 x 60 cm</li>
<li data-start=""1133"" data-end=""1253"">Composici&oacute;n: Poli&eacute;ster</li>
<li data-start=""1133"" data-end=""1253"">Uso: ideal para salida de ducha o ba&ntilde;era</li>
<li data-start=""1133"" data-end=""1253"">antideslizante&nbsp;</li>
</ul>
<p data-start=""1133"" data-end=""1253"">&nbsp;</p>
<h3 data-start=""1133"" data-end=""1253"">Beneficios del Producto:</h3>
<ul>
<li data-start=""1133"" data-end=""1253"">M&aacute;ximo confort: se adapta al pie brindando una sensaci&oacute;n suave y acolchonada.</li>
<li data-start=""1133"" data-end=""1253"">Absorbente y pr&aacute;ctica: ideal para colocar a la salida de la ducha o ba&ntilde;era.</li>
</ul>";;;;;SI;;;;0.00;Visible
alfombra-lg7ds;;;Color;Marrón;;;;;8,900.00;;0.05;2.00;15.00;10.00;2;;;;;;;;;;;;;;0.00;
alfombra-lg7ds;;;Color;Crema;;;;;8,900.00;;0.05;2.00;15.00;10.00;2;;;;;;;;;;;;;;0.00;
kit-duvet-1vk25;Cubre Edredon DUVET Queen + fundas almohadas;DORMITORIO > MANTAS/FRAZADAS/ACOLCHADOS;;;;;;;65,900.00;;0.30;5.00;15.00;20.00;1;;;SI;NO;"<h2 style=""box-sizing: inherit; margin-top: 0px; font-family: Lato, sans-serif; color: #191919; background-color: #ffffff; font-size: 20px !important;"" data-start=""0"" data-end=""142""><strong style=""box-sizing: inherit;"" data-start=""18"" data-end=""142"">Kit Duvet Queen de 3 Piezas | Un Descanso Inigualable</strong></h2>
<p class="""" style=""box-sizing: inherit; line-height: 1.4286em; color: #191919; font-family: Outfit, sans-serif; font-size: 12px; background-color: #ffffff;"" data-start=""144"" data-end=""432""><br style=""box-sizing: inherit;"" data-start=""160"" data-end=""163"" />Renueva tu <strong style=""box-sizing: inherit;"" data-start=""174"" data-end=""195"">acolchado antiguo</strong> con el <strong style=""box-sizing: inherit;"" data-start=""203"" data-end=""236"">Kit Duvet Oxford,</strong>&nbsp;un set <strong style=""box-sizing: inherit;"" data-start=""245"" data-end=""265"">Queen de 3 piezas</strong> con <strong style=""box-sizing: inherit;"" data-start=""270"" data-end=""298"">funda n&oacute;rdica S&uacute;per Soft</strong> y cierre en la parte posterior para mayor comodidad y estilo. Ideal para quienes buscan calidad y confort</p>
<p class="""" style=""box-sizing: inherit; line-height: 1.4286em; color: #191919; font-family: Outfit, sans-serif; font-size: 12px; background-color: #ffffff;"" data-start=""434"" data-end=""468"">&nbsp;</p>
<p class="""" style=""box-sizing: inherit; line-height: 1.4286em; color: #191919; font-family: Outfit, sans-serif; font-size: 12px; background-color: #ffffff;"" data-start=""434"" data-end=""468""><strong style=""box-sizing: inherit;"" data-start=""434"" data-end=""466"">Caracter&iacute;sticas Principales:</strong></p>
<ul style=""box-sizing: inherit; padding-left: 20px; color: #191919; font-family: Outfit, sans-serif; font-size: 12px; background-color: #ffffff;"" data-start=""469"" data-end=""1060"">
<li class="""" style=""box-sizing: inherit; margin-bottom: 10px; line-height: 22px;"" data-start=""469"" data-end=""597"">
<p class="""" style=""box-sizing: inherit; line-height: 1.4286em;"" data-start=""471"" data-end=""484""><strong style=""box-sizing: inherit;"" data-start=""471"" data-end=""482"">Medida:</strong></p>
<ul style=""box-sizing: inherit; padding-left: 20px;"" data-start=""488"" data-end=""597"">
<li class="""" style=""box-sizing: inherit; margin-bottom: 10px; line-height: 22px;"" data-start=""488"" data-end=""543"">
<p class="""" style=""box-sizing: inherit; line-height: 1.4286em;"" data-start=""490"" data-end=""543"">1 <strong style=""box-sizing: inherit;"">Funda N&oacute;rdica</strong>: 240 cm x 240 cm + 5 cm</p>
</li>
<li class="""" style=""box-sizing: inherit; margin-bottom: 10px; line-height: 22px;"" data-start=""547"" data-end=""597"">
<p class="""" style=""box-sizing: inherit; line-height: 1.4286em;"" data-start=""549"" data-end=""597"">2 <strong style=""box-sizing: inherit;"" data-start=""551"" data-end=""573"">Funda de Almohad&oacute;n</strong>: 70 cm x 50 cm + 5 cm</p>
</li>
</ul>
</li>
<li class="""" style=""box-sizing: inherit; margin-bottom: 10px; line-height: 22px;"" data-start=""598"" data-end=""723"">
<p class="""" style=""box-sizing: inherit; line-height: 1.4286em;"" data-start=""600"" data-end=""723""><strong style=""box-sizing: inherit;"" data-start=""600"" data-end=""616"">Composici&oacute;n:</strong> Microfibra Premium</p>
</li>
<li class="""" style=""box-sizing: inherit; margin-bottom: 10px; line-height: 22px;"" data-start=""829"" data-end=""963"">
<p class="""" style=""box-sizing: inherit; line-height: 1.4286em;"" data-start=""831"" data-end=""963""><strong style=""box-sizing: inherit;"" data-start=""831"" data-end=""864"">Cierre en la Parte Posterior:</strong> F&aacute;cil de colocar y quitar, con cierre oculto que asegura que el edred&oacute;n se mantenga en su lugar.</p>
</li>
<li class="""" style=""box-sizing: inherit; margin-bottom: 10px; line-height: 22px;"" data-start=""964"" data-end=""1060"">
<p class="""" style=""box-sizing: inherit; line-height: 1.4286em;"" data-start=""966"" data-end=""1060""><strong style=""box-sizing: inherit;"" data-start=""966"" data-end=""976"">Marca:</strong> Jean Cartier</p>
</li>
</ul>
<p class="""" style=""box-sizing: inherit; line-height: 1.4286em; color: #191919; font-family: Outfit, sans-serif; font-size: 12px; background-color: #ffffff;"" data-start=""1062"" data-end=""1092"">&nbsp;</p>
<p class="""" style=""box-sizing: inherit; line-height: 1.4286em; color: #191919; font-family: Outfit, sans-serif; font-size: 12px; background-color: #ffffff;"" data-start=""1062"" data-end=""1092""><strong style=""box-sizing: inherit;"" data-start=""1062"" data-end=""1090"">Beneficios del Producto:</strong></p>
<ul style=""box-sizing: inherit; padding-left: 20px; color: #191919; font-family: Outfit, sans-serif; font-size: 12px; background-color: #ffffff;"" data-start=""1093"" data-end=""1602"">
<li class="""" style=""box-sizing: inherit; margin-bottom: 10px; line-height: 22px;"" data-start=""1093"" data-end=""1301"">
<p class="""" style=""box-sizing: inherit; line-height: 1.4286em;"" data-start=""1095"" data-end=""1301""><strong style=""box-sizing: inherit;"" data-start=""1095"" data-end=""1128"">Renueva tu Acolchado Antiguo:</strong> Transforma tu habitaci&oacute;n con el elegante y c&oacute;modo <strong style=""box-sizing: inherit;"" data-start=""1179"" data-end=""1199"">Kit Duvet Oxford</strong>. Ideal para dar un toque de frescura a tu cama, mejorando el confort y la apariencia de tu espacio.</p>
</li>
<li class="""" style=""box-sizing: inherit; margin-bottom: 10px; line-height: 22px;"" data-start=""1449"" data-end=""1602"">
<p class="""" style=""box-sizing: inherit; line-height: 1.4286em;"" data-start=""1451"" data-end=""1602""><strong style=""box-sizing: inherit;"" data-start=""1451"" data-end=""1493"">Cierre Posterior para Mayor Comodidad:</strong> El pr&aacute;ctico cierre facilita el uso y mantenimiento del set, manteniendo todo en su lugar sin complicaciones.</p>
</li>
</ul>";;;;;SI;;;;;Visible
set-latas-pij1a;Setx4 latas Almacenamiento;COCINA > BAZAR > FRASCOS, COCINA > BAZAR > ORGANIZACION COCINA;;;;;;;39,900.00;;0.40;15.00;10.00;10.00;4;;;SI;NO;"<p>Lata de acero galvanizado <strong>color gris con tapa de bamboo</strong>.<br />Destaca no s&oacute;lo por la combinaci&oacute;n arm&oacute;nica de sus materiales de excelente calidad, sino tambi&eacute;n por los detalles de dise&ntilde;o que posee esta l&iacute;nea.<br />Ideal para cocinas modernas y organizadas.<br /><br />Caracter&iacute;sticas:<br /><br />. Medidas:</p>
<p>Lata <strong>CAFE - TE - AZUCAR:</strong> 15,5 x 11,5 cm de di&aacute;metro</p>
<p>Lata <strong>PASTA:</strong>&nbsp; 29,5 x 11,5 cm de di&aacute;metro</p>
<p><br />. Material: Acero y Madera de Bamboo<br />. Apto lavavajillas: No<br />. L&iacute;nea de dise&ntilde;o: Bamboo Grey</p>
<p>&nbsp;</p>
<p>&nbsp;</p>";;;;;SI;;;;0.00;Visible
set-sushi-10z1c;SET DE SUSHI PARA 2 PORCELANA NEGRO 19X9 CM;COCINA > BAZAR > BANDEJAS - BOWLS - TABLAS, COCINA > BAZAR > CUBIERTOS - VAJILLA, DIA DEL PADRE;;;;;;;32,500.00;;0.10;2.00;10.00;10.00;3;;;SI;NO;"<h4>SET DE SUSHI PARA 2 PORCELANA NEGRO 19X9 CM</h4>
<div>Caracter&iacute;sticas:<br /><br />. Medida: 19 x 9 cm (bandeja) - 8 x 5,5 cm (dip)<br />. Material: Porcelana y Madera de Bamboo<br />. Apto lavavajillas: Porcelana s&iacute;, bamboo no<br />. Packing: Caja de Regalo tipo Window Box<br /><br /></div>";;;;;SI;;;;;Visible
tabla-bambu-13duh;TABLA DE BAMBOO CON MANGO NEGRO RECTANGULAR 34X17 CM;COCINA > BAZAR > BANDEJAS - BOWLS - TABLAS, DIA DEL PADRE;;;;;;;14,900.00;;0.05;2.00;10.00;10.00;2;;;SI;NO;"<h4>TABLA DE BAMBOO CON MANGO NEGRO RECTANGULAR 34X17 CM</h4>
<div>Tabla de madera rectangular con mango pintado en color negro, ideal para colgar. Su dise&ntilde;o cl&aacute;sico y sobrio combina con todo tipo de cocina.<br /><br />Caracter&iacute;sticas:<br /><br />&middot; Medidas: 34x17 cm<br />&middot; Material: Madera de Bamboo<br />&middot; Apto lavavajillas: no<br />. Apto microondas: no<br /><br /></div>";;;;;SI;;;;;Visible
aceit-14hsk;ACEITERA DE ACRILICO 6X10CM;COCINA > BAZAR > ACEITEROS - SALEROS - AZUCARERAS - ESPECIEROS;;;;;;;6,900.00;;0.05;5.00;3.00;5.00;6;;;SI;NO;"<h4>ACEITERA DE ACRILICO LINEA NET</h4>
<p>&nbsp;</p>
<div>Jarra de acr&iacute;lico transparente con pico vertedor y cierre de tapa a presi&oacute;n.<br />Dise&ntilde;o cl&aacute;sico de uso cotidiano. Ideal para usar como condimentero.<br />Acr&iacute;lico de excelente calidad, resistente y duradero.<br /><br />Caracter&iacute;sticas:<br /><br />Material: acr&iacute;lico<br />Medidas: 6 cm de di&aacute;metro x 10 cm de alto<br />Apto lavavajillas: no<br />Apto microondas: no<br />L&iacute;nea de dise&ntilde;o: Net<br />Origen: China</div>";;;;;SI;;;;;Visible
azucarera-1eogd;AZUCARERA MARGARITA 350 ML;COCINA > BAZAR > ACEITEROS - SALEROS - AZUCARERAS - ESPECIEROS;;;;;;;15,500.00;;0.10;5.00;5.00;5.00;3;;;SI;NO;"<h4>AZUCARERA MARGARITA 350 ML</h4>
<h4>&nbsp;Caracter&iacute;sticas:<br /><br />. Medidas: 9 x 10 cm de di&aacute;metro<br />. Capacidad: 350 ml<br />. Material: Cer&aacute;mica<br />. Apto lavavajillas: Si<br />. Apto microondas: Si<br />. Apto horno: Si<br />. L&iacute;nea de dise&ntilde;o: Margarita<br /><br /></h4>";;;;;SI;;;;;Visible
taza-1tgq4;Taza CREAM 440ml;COCINA > BAZAR > TAZAS Y PLATITOS;;;;;;;9,000.00;;0.05;5.00;5.00;5.00;3;;;SI;NO;"<h4>Taza CREAM 440 ML</h4>
<p>&nbsp;</p>
<div>Caracter&iacute;sticas:<br /><br />. Capacidad: 440 ML<br />. Medidas: 7X9,5 CM<br />. Material: Cer&aacute;mica<br />. Lavavajillas: Si<br />. Microondas: Si<br />. L&iacute;nea: Gather Cream<br /><br /></div>";;;;;SI;;;;;Visible
noix-24-5-1az5h;BANDEJA RECTANGULAR NOIX 24,5X11 CM;;;;;;;;19,900.00;;0.05;2.00;5.00;10.00;1;;;SI;NO;"<h4>BANDEJA RECTANGULAR NOIX 24,5X11 CM</h4>
<div>Caracter&iacute;sticas:<br /><br />. Medidas: 24,5X11 CM<br />. Material: Poliestireno<br />. Apto lavavajillas: Hasta 65&deg;<br />. Apto microondas: No<br />. L&iacute;nea de dise&ntilde;o: Noix<br />. Origen: Turqu&iacute;a</div>";;;;;SI;;;;;Visible
noix-31-z7ivw;BANDEJA REDONDA NOIX 31 CM;COCINA > BAZAR > BANDEJAS - BOWLS - TABLAS, DIA DEL PADRE;;;;;;;32,500.00;;0.05;2.00;15.00;15.00;2;;;SI;NO;"<h4>BANDEJA REDONDA NOIX 31 CM</h4>
<h4>&nbsp;Caracter&iacute;sticas:<br /><br /><br />. Medidas: 31 CM<br />. Material: Poliestireno<br />. Apto lavavajillas: Hasta 65&deg;<br />. Apto microondas: No<br />. L&iacute;nea de dise&ntilde;o: Noix<br />. Origen: Turqu&iacute;a</h4>";;;;;SI;;;;;Visible
noix-285x17-cm-scygo;BOWL BAJO OVAL NOIX 28,5X17 CM;COCINA > BAZAR > BANDEJAS - BOWLS - TABLAS, DIA DEL PADRE;;;;;;;19,900.00;;0.05;2.00;5.00;15.00;2;;;SI;NO;"<h4>BOWL BAJO OVAL NOIX&nbsp;</h4>
<div>Caracter&iacute;sticas:<br /><br />. Medidas:&nbsp;28,5X17 CM<br />. Capacidad: 400 ML<br />. Material: Poliestireno<br />. Apto lavavajillas: Hasta 65&deg;<br />. Apto microondas: No<br />. L&iacute;nea de dise&ntilde;o: Noix<br />. Origen: Turqu&iacute;a</div>";;;;;SI;;;;;Visible
